ID,Section,SubGroup,Checkpoint,Subcheck Label,Green (Tier 0 - Normal),Orange (Tier 1 - Needs Attention),Red (Tier 2 - Fault/Defect),Review Note
1.1,Air Condition Room,,Air Cond. Unit and Panel,Alarms,No Alarms,Minor Alarm Active,Fault Alarm,
1.1,Air Condition Room,,Air Cond. Unit and Panel,Leakage,NO Leakages,Minor Leakage - Manageable,Major Leakage,
1.1,Air Condition Room,,Air Cond. Unit and Panel,Noise / Vibration,NO abnormal noise / vibration,Minor noise / vibration,Excessive noise / vibration,
1.2,Air Condition Room,,Provision Reefier Units and Panel,Alarms,No Alarms,Minor Alarm Active,Fault Alarm,source notes possible NO1/NO2 units but this item is kept as one entry - split it?
1.2,Air Condition Room,,Provision Reefier Units and Panel,Leakage,NO Leakages,Minor Leakage - Manageable,Major Leakage - Need Repair,source notes possible NO1/NO2 units but this item is kept as one entry - split it?
1.2,Air Condition Room,,Provision Reefier Units and Panel,Noise / Vibration,NO abnormal noise / vibration,Minor noise / vibration,Excessive noise / vibration,source notes possible NO1/NO2 units but this item is kept as one entry - split it?
1.3,Air Condition Room,,Grease Trap,Fill Level,Clean,Needs Emptying,Full / Overflowing,
1.3,Air Condition Room,,Grease Trap,Odor / Condition,No Smell,Minor Leakage - Manageable,Smelly,
2.1,Fire Station Room,,Quck Closing Valve Air Bottles,Pressure,Pressure OK,Pressure Above Normal Range,Air Bottle Low Pressure / Empty ,
2.1,Fire Station Room,,Quck Closing Valve Air Bottles,Valve Position,Activation Valves Normally Closed,Pressure Below Normal Range,Activation Valves Open,
2.2,Fire Station Room,,Ventilation Damper Air Bottles,Pressure,Pressure OK,Pressure Above Normal Range,Air Bottle Low Pressure / Empty ,
2.2,Fire Station Room,,Ventilation Damper Air Bottles,Valve Position,Activation Valves Normally Closed,Pressure Below Normal Range,Activation Valves Open,
2.3,Fire Station Room,,Fire Control Detector Panels,,OK - No Alarms,Alarm Active,Fault,
2.4,Fire Station Room,,Water Mist Control Panels,,OK - No Alarms,Alarm Active,Fault,INFERRED Orange (source left blank)
2.5,Fire Station Room,,Isolation Valve - Normally Open,Position,Open,Not Fully Open / Needs Adjustment,Closed,INFERRED Orange (source left blank)
2.5,Fire Station Room,,Isolation Valve - Normally Open,Leakage,NO Leakages,Minor Leakage - Manageable,Major Leakage - Need Repair,
3.1,Boiler & Economizer Area,,Boiler Control Panel,,OK - No Alarms,Alarm Active - Minor,Alarm Active - Fault,
3.2,Boiler & Economizer Area,,Boiler Oil Fired Burner,Running State,Running Normally / Auto,Manual Firing,Fault / Abnormal,
3.2,Boiler & Economizer Area,,Boiler Oil Fired Burner,Leakage,Standby / Stopped,Minor Leakage - Manageable,Major Leakage - Need Repair,
3.3,Boiler & Economizer Area,,Incinerator Flue Gas fan,,Running Normally / Auto,Standby / Stopped,Fault / Abnormal,a duplicate/stray subcheck from the source row was dropped here
3.4,Boiler & Economizer Area,,Boiler Manometers,,Normal Reading,High Differential,Not Readable,a duplicate/stray subcheck from the source row was dropped here
3.5,Boiler & Economizer Area,,Boiler Water Sight Glass,Level Reading,Normal Reading,Minor Leakage - Manageable,Low Level,
3.5,Boiler & Economizer Area,,Boiler Water Sight Glass,Leakage,NO Leakages,Not Readable - Blow off,High Level,
3.5,Boiler & Economizer Area,,Boiler Water Sight Glass,Clarity,Clear,Slightly Cloudy / Needs Cleaning,Major Leakage - Need Repair,INFERRED Orange (source left blank)
3.6,Boiler & Economizer Area,,Expansion Tank Level,Level,Level Normal,Level Low - to top up,Level High,
3.6,Boiler & Economizer Area,,Expansion Tank Level,Leakage,NO Leakages,Minor Leakage - Manageable,Major Leakage - Need Repair,
3.7-NO1,Boiler & Economizer Area,,E/R Ventilation Fans (NO 1),Running State,Running Normally,Standby / Stopped,Fault / Abnormal,a duplicate/stray subcheck from the source row was dropped here
3.7-NO1,Boiler & Economizer Area,,E/R Ventilation Fans (NO 1),Noise / Vibration,NO abnormal noise / vibration,Minor noise / vibration,Excessive noise / vibration,a duplicate/stray subcheck from the source row was dropped here
3.7-NO2,Boiler & Economizer Area,,E/R Ventilation Fans (NO 2),Running State,Running Normally,Standby / Stopped,Fault / Abnormal,a duplicate/stray subcheck from the source row was dropped here
3.7-NO2,Boiler & Economizer Area,,E/R Ventilation Fans (NO 2),Noise / Vibration,NO abnormal noise / vibration,Minor noise / vibration,Excessive noise / vibration,a duplicate/stray subcheck from the source row was dropped here
3.7-NO3,Boiler & Economizer Area,,E/R Ventilation Fans (NO 3),Running State,Running Normally,Standby / Stopped,Fault / Abnormal,a duplicate/stray subcheck from the source row was dropped here
3.7-NO3,Boiler & Economizer Area,,E/R Ventilation Fans (NO 3),Noise / Vibration,NO abnormal noise / vibration,Minor noise / vibration,Excessive noise / vibration,a duplicate/stray subcheck from the source row was dropped here
3.7-NO4,Boiler & Economizer Area,,E/R Ventilation Fans (NO 4),Running State,Running Normally,Standby / Stopped,Fault / Abnormal,a duplicate/stray subcheck from the source row was dropped here
